,Dataset,Source,Model,R2
0,HIV1_HV1B9_ENV_DuenasDecamp,Viral,R2_site,0.3107
1,BPP22_COAT_Tsuboyama,Viral,R2_site,0.6027
2,AAV2_CAPSD_Sinai,Viral,R2_site,0.2419
3,IAV_RDRP_Li,Viral,R2_site,0.366
4,EV_CAPSD_Bakhache,Viral,R2_site,0.3232
5,CVB3_2B_Alvarez,Viral,R2_site,0.3422
6,CVB3_3B_Alvarez,Viral,R2_site,0.4537
7,PESV_POLG_Tsuboyama,Viral,R2_site,0.4946
8,RsYN04_RBD_Starr,Viral,R2_site,0.6774
9,DENV_POLG_Suphatrakul,Viral,R2_site,0.5958
10,HIV1_BG505_ENV_Haddox,Viral,R2_site,0.6581
11,IAV_PB2_Soh,Viral,R2_site,0.5504
12,CVB3_POLG_Mattenberger,Viral,R2_site,0.5434
13,IAV_NA_Jiang,Viral,R2_site,0.6146
14,IAV_H1_HA_Wu,Viral,R2_site,0.3441
15,BP434_RPC1_Tsuboyama,Viral,R2_site,0.6522
16,CVB3_VP1_Alvarez,Viral,R2_site,0.3691
17,SARS2_DELTA_SPIKE_Dadonaite,Viral,R2_site,0.1895
18,EV_REP_Bakhache,Viral,R2_site,0.4058
19,CVB3_3D_Alvarez,Viral,R2_site,0.3635
20,NIPAH_F_Larsen,Viral,R2_site,0.553
21,IAV_H5_HA_Dadonaite,Viral,R2_site,0.5539
22,SARS2_XBB15_RBD_Taylor,Viral,R2_site,0.6678
23,HIV1_BF520_ENV_Haddox,Viral,R2_site,0.687
24,CVB3_VP3_Alvarez,Viral,R2_site,0.257
25,IAV_H3_HA_Lee,Viral,R2_site,0.6206
26,RmYN02_RBD_Starr,Viral,R2_site,0.3563
27,IAV_H3_NP_Doud,Viral,R2_site,0.5478
28,IAV_H1_HA_Doud,Viral,R2_site,0.6072
29,IAV_H1_NP_Doud,Viral,R2_site,0.3708
30,IAV_PA_Wu,Viral,R2_site,0.5219
31,SARS2_MRPO_Flynn,Viral,R2_site,0.6998
32,SARS2_PLPRO_abundance_Wu,Viral,R2_site,0.5173
33,LAMBDA_HCP_Tsuboyama,Viral,R2_site,0.6459
34,SARS2_PRD0038_RBD_Starr,Viral,R2_site,0.6478
35,CVB3_3C_Alvarez,Viral,R2_site,0.3679
36,CVB3_2C_Alvarez,Viral,R2_site,0.3543
37,LASSA_GP_Carr,Viral,R2_site,0.4733
38,SARS2_RBD_binding_Starr,Viral,R2_site,0.6844
39,CVB3_2A_Alvarez,Viral,R2_site,0.5999
40,CVB3_3A_Alvarez,Viral,R2_site,0.417
41,SARS2_PLPRO_activity_Wu,Viral,R2_site,0.6801
42,SARS2_BA1_SPIKE_Dadonaite,Viral,R2_site,0.4474
43,SARS2_RBD_expression_Starr,Viral,R2_site,0.7336
44,TIM_THETH,Cellular,R2_site,0.495
45,TIM_THEMA,Cellular,R2_site,0.4405
46,MK01_HUMAN_Johannessen,Cellular,R2_site,0.2512
47,IF1_ECOLI,Cellular,R2_site,0.5028
48,TIM_SULSO,Cellular,R2_site,0.4565
49,RL401_YEAST_Fraser2016,Cellular,R2_site,0.4519
50,RASH_HUMAN_Kuriyan,Cellular,R2_site,0.5455
51,MTH3_HAEAESTABILIZED_Tawfik2015,Cellular,R2_site,0.5626
52,AMIE_PSEAE_Whitehead,Cellular,R2_site,0.4708
53,TPMT_HUMAN_Fowler2018,Cellular,R2_site,0.3431
54,PTEN_HUMAN_Fowler2018,Cellular,R2_site,0.4904
55,BG_STRSQ_hmmerbit,Cellular,R2_site,0.3626
56,DLG4_RAT_Ranganathan2012,Cellular,R2_site,0.5274
57,TPK1_HUMAN_Roth2017,Cellular,R2_site,0.1473
58,GAL4_YEAST_Shendure2015,Cellular,R2_site,0.4937
59,UBE4B_MOUSE_Klevit2013_singles,Cellular,R2_site,0.3766
60,PABP_YEAST_Fields2013_singles,Cellular,R2_site,0.5677
61,HSP82_YEAST_Bolon2016,Cellular,R2_site,0.6372
62,BLAT_ECOLX_Ostermeier2014,Cellular,R2_site,0.5522
63,BRCA1_HUMAN_RING,Cellular,R2_site,0.5432
64,KKA2_KLEPN_Mikkelsen2014,Cellular,R2_site,0.5025
65,UBC9_HUMAN_Roth2017,Cellular,R2_site,0.4037
66,PABP_YEAST_Fields2013_doubles,Cellular,R2_site,0.3099
67,BLAT_ECOLX_Tenaillon2013,Cellular,R2_site,0.6043
68,SUMO1_HUMAN_Roth2017,Cellular,R2_site,0.3437
69,CALM1_HUMAN_Roth2017,Cellular,R2_site,0.1241
70,parEparD_Laub2015_all,Cellular,R2_site,0.1621
71,BLAT_ECOLX_Ranganathan2015,Cellular,R2_site,0.6314
72,BRCA1_HUMAN_BRCT,Cellular,R2_site,0.4644
73,YAP1_HUMAN_Fields2012_singles,Cellular,R2_site,0.5248
74,B3VI55_LIPST_Whitehead2015,Cellular,R2_site,0.2583
75,B3VI55_LIPSTSTABLE,Cellular,R2_site,0.3559
76,RL401_YEAST_Bolon2013,Cellular,R2_site,0.495
77,RL401_YEAST_Bolon2014,Cellular,R2_site,0.5197
78,BLAT_ECOLX_Palzkill2012,Cellular,R2_site,0.4931
79,HIV1_HV1B9_ENV_DuenasDecamp,Viral,R2_mut,0.0398
80,BPP22_COAT_Tsuboyama,Viral,R2_mut,0.1601
81,AAV2_CAPSD_Sinai,Viral,R2_mut,0.0799
82,IAV_RDRP_Li,Viral,R2_mut,0.0515
83,EV_CAPSD_Bakhache,Viral,R2_mut,0.0362
84,CVB3_2B_Alvarez,Viral,R2_mut,0.1158
85,CVB3_3B_Alvarez,Viral,R2_mut,0.0711
86,PESV_POLG_Tsuboyama,Viral,R2_mut,0.0666
87,RsYN04_RBD_Starr,Viral,R2_mut,0.0062
