,Source,Dataset,Split,R2,Model,lassoCV_R2
0,cellular,AMIE_PSEAE_Whitehead,pooled,0.405258260159101,esm2_650m,0.47752435683224653
1,cellular,AMIE_PSEAE_Whitehead,pooled,0.405258260159101,esm2_viral_full,0.40245147881630644
4,cellular,B3VI55_LIPSTSTABLE,pooled,0.2540944248500056,esm2_650m,0.4515304817365233
5,cellular,B3VI55_LIPSTSTABLE,pooled,0.2540944248500056,esm2_viral_full,0.34455065455949657
8,cellular,B3VI55_LIPST_Whitehead2015,pooled,0.16233250036501856,esm2_650m,0.24516224931947375
9,cellular,B3VI55_LIPST_Whitehead2015,pooled,0.16233250036501856,esm2_viral_full,0.15476175503286085
12,cellular,BG_STRSQ_hmmerbit,pooled,0.10200042679942163,esm2_650m,0.4120220062083069
13,cellular,BG_STRSQ_hmmerbit,pooled,0.10200042679942163,esm2_viral_full,0.25861027301815326
16,cellular,BLAT_ECOLX_Ostermeier2014,pooled,0.45509491815450404,esm2_650m,0.6532535728674271
17,cellular,BLAT_ECOLX_Ostermeier2014,pooled,0.45509491815450404,esm2_viral_full,0.435054865388183
20,cellular,BLAT_ECOLX_Palzkill2012,pooled,0.4300071560175332,esm2_650m,0.5728535970764597
21,cellular,BLAT_ECOLX_Palzkill2012,pooled,0.4300071560175332,esm2_viral_full,0.40394281078157784
24,cellular,BLAT_ECOLX_Ranganathan2015,pooled,0.5840551894619822,esm2_650m,0.7156024072872511
25,cellular,BLAT_ECOLX_Ranganathan2015,pooled,0.5840551894619822,esm2_viral_full,0.5093344464201989
28,cellular,BLAT_ECOLX_Tenaillon2013,pooled,0.24748628903256564,esm2_650m,0.5009768677862676
29,cellular,BLAT_ECOLX_Tenaillon2013,pooled,0.24748628903256564,esm2_viral_full,0.17219669480295227
32,cellular,BRCA1_HUMAN_BRCT,pooled,0.25521533353944376,esm2_650m,0.4731618253748718
33,cellular,BRCA1_HUMAN_BRCT,pooled,0.25521533353944376,esm2_viral_full,0.3161034979003004
36,cellular,BRCA1_HUMAN_RING,pooled,0.3477881895179966,esm2_650m,0.5006616594825504
37,cellular,BRCA1_HUMAN_RING,pooled,0.3477881895179966,esm2_viral_full,0.41667625962276605
40,cellular,CALM1_HUMAN_Roth2017,pooled,-0.0474662672516253,esm2_650m,0.04745738397515817
41,cellular,CALM1_HUMAN_Roth2017,pooled,-0.0474662672516253,esm2_viral_full,0.03569471321853657
44,cellular,DLG4_RAT_Ranganathan2012,pooled,0.47382336455018076,esm2_650m,0.610942169363602
45,cellular,DLG4_RAT_Ranganathan2012,pooled,0.47382336455018076,esm2_viral_full,0.538773982735872
48,cellular,GAL4_YEAST_Shendure2015,pooled,0.3918699809985445,esm2_650m,0.4509716083986211
49,cellular,GAL4_YEAST_Shendure2015,pooled,0.3918699809985445,esm2_viral_full,0.2878125234158044
52,cellular,HSP82_YEAST_Bolon2016,pooled,0.5755143270796355,esm2_650m,0.6982798805860577
53,cellular,HSP82_YEAST_Bolon2016,pooled,0.5755143270796355,esm2_viral_full,0.5439629590640105
56,cellular,IF1_ECOLI,pooled,0.35418805338641884,esm2_650m,0.5730117079258826
57,cellular,IF1_ECOLI,pooled,0.35418805338641884,esm2_viral_full,0.4493105317401209
60,cellular,KKA2_KLEPN_Mikkelsen2014,pooled,0.4526502634427947,esm2_650m,0.48736394177918746
61,cellular,KKA2_KLEPN_Mikkelsen2014,pooled,0.4526502634427947,esm2_viral_full,0.32630438567705683
64,cellular,MK01_HUMAN_Johannessen,pooled,0.1328181681521322,esm2_650m,0.17728853685434842
65,cellular,MK01_HUMAN_Johannessen,pooled,0.1328181681521322,esm2_viral_full,0.15549112561069475
68,cellular,MTH3_HAEAESTABILIZED_Tawfik2015,pooled,0.36578898613116584,esm2_650m,0.4214892555008091
69,cellular,MTH3_HAEAESTABILIZED_Tawfik2015,pooled,0.36578898613116584,esm2_viral_full,0.22635808550055359
72,cellular,PABP_YEAST_Fields2013_singles,pooled,0.4705366375474594,esm2_650m,0.6499105605967189
73,cellular,PABP_YEAST_Fields2013_singles,pooled,0.4705366375474594,esm2_viral_full,0.5018039390744903
76,cellular,PTEN_HUMAN_Fowler2018,pooled,0.40444642223171945,esm2_650m,0.5317926418017046
77,cellular,PTEN_HUMAN_Fowler2018,pooled,0.40444642223171945,esm2_viral_full,0.4272899330731614
