,Dataset,Source,Model,R2
0,HIV1_HV1B9_ENV_DuenasDecamp,viral,site,0.3107
1,BPP22_COAT_Tsuboyama,viral,site,0.6027
2,IAV_RDRP_Li,viral,site,0.366
3,EV_CAPSD_Bakhache,viral,site,0.3232
4,CVB3_2B_Alvarez,viral,site,0.3422
5,CVB3_3B_Alvarez,viral,site,0.4537
6,RsYN04_RBD_Starr,viral,site,0.6774
7,DENV_POLG_Suphatrakul,viral,site,0.5958
8,HIV1_BG505_ENV_Haddox,viral,site,0.6581
9,IAV_PB2_Soh,viral,site,0.5504
10,CVB3_POLG_Mattenberger,viral,site,0.5434
11,IAV_NA_Jiang,viral,site,0.6146
12,IAV_H1_HA_Wu,viral,site,0.3441
13,CVB3_VP1_Alvarez,viral,site,0.3691
14,SARS2_DELTA_SPIKE_Dadonaite,viral,site,0.1895
15,EV_REP_Bakhache,viral,site,0.4058
16,CVB3_3D_Alvarez,viral,site,0.3635
17,NIPAH_F_Larsen,viral,site,0.553
18,IAV_H5_HA_Dadonaite,viral,site,0.5539
19,SARS2_XBB15_RBD_Taylor,viral,site,0.6678
20,HIV1_BF520_ENV_Haddox,viral,site,0.687
21,CVB3_VP3_Alvarez,viral,site,0.257
22,IAV_H3_HA_Lee,viral,site,0.6206
23,RmYN02_RBD_Starr,viral,site,0.3563
24,IAV_H3_NP_Doud,viral,site,0.5478
25,IAV_H1_HA_Doud,viral,site,0.6072
26,IAV_H1_NP_Doud,viral,site,0.3708
27,IAV_PA_Wu,viral,site,0.5219
28,SARS2_MRPO_Flynn,viral,site,0.6998
29,SARS2_PLPRO_abundance_Wu,viral,site,0.5173
30,LAMBDA_HCP_Tsuboyama,viral,site,0.6459
31,SARS2_PRD0038_RBD_Starr,viral,site,0.6478
32,CVB3_3C_Alvarez,viral,site,0.3679
33,CVB3_2C_Alvarez,viral,site,0.3543
34,LASSA_GP_Carr,viral,site,0.4733
35,SARS2_RBD_binding_Starr,viral,site,0.6844
36,CVB3_2A_Alvarez,viral,site,0.5999
37,CVB3_3A_Alvarez,viral,site,0.417
38,SARS2_PLPRO_activity_Wu,viral,site,0.6801
39,SARS2_BA1_SPIKE_Dadonaite,viral,site,0.4474
40,SARS2_RBD_expression_Starr,viral,site,0.7336
41,TIM_THETH,cellular,site,0.495
42,TIM_THEMA,cellular,site,0.4405
43,MK01_HUMAN_Johannessen,cellular,site,0.2512
44,IF1_ECOLI,cellular,site,0.5028
45,TIM_SULSO,cellular,site,0.4565
46,RL401_YEAST_Fraser2016,cellular,site,0.4519
47,RASH_HUMAN_Kuriyan,cellular,site,0.5455
48,MTH3_HAEAESTABILIZED_Tawfik2015,cellular,site,0.5626
49,AMIE_PSEAE_Whitehead,cellular,site,0.4708
50,TPMT_HUMAN_Fowler2018,cellular,site,0.3431
51,PTEN_HUMAN_Fowler2018,cellular,site,0.4904
52,BG_STRSQ_hmmerbit,cellular,site,0.3626
53,DLG4_RAT_Ranganathan2012,cellular,site,0.5274
54,TPK1_HUMAN_Roth2017,cellular,site,0.1473
55,GAL4_YEAST_Shendure2015,cellular,site,0.4937
56,UBE4B_MOUSE_Klevit2013_singles,cellular,site,0.3766
57,PABP_YEAST_Fields2013_singles,cellular,site,0.5677
58,HSP82_YEAST_Bolon2016,cellular,site,0.6372
59,BLAT_ECOLX_Ostermeier2014,cellular,site,0.5522
60,BRCA1_HUMAN_RING,cellular,site,0.5432
61,KKA2_KLEPN_Mikkelsen2014,cellular,site,0.5025
62,UBC9_HUMAN_Roth2017,cellular,site,0.4037
63,BLAT_ECOLX_Tenaillon2013,cellular,site,0.6043
64,SUMO1_HUMAN_Roth2017,cellular,site,0.3437
65,CALM1_HUMAN_Roth2017,cellular,site,0.1241
66,BLAT_ECOLX_Ranganathan2015,cellular,site,0.6314
67,BRCA1_HUMAN_BRCT,cellular,site,0.4644
68,YAP1_HUMAN_Fields2012_singles,cellular,site,0.5248
69,B3VI55_LIPST_Whitehead2015,cellular,site,0.2583
70,B3VI55_LIPSTSTABLE,cellular,site,0.3559
71,RL401_YEAST_Bolon2013,cellular,site,0.495
72,RL401_YEAST_Bolon2014,cellular,site,0.5197
73,BLAT_ECOLX_Palzkill2012,cellular,site,0.4931
74,HIV1_HV1B9_ENV_DuenasDecamp,viral,AA,0.0398
75,BPP22_COAT_Tsuboyama,viral,AA,0.1601
76,IAV_RDRP_Li,viral,AA,0.0515
77,EV_CAPSD_Bakhache,viral,AA,0.0362
78,CVB3_2B_Alvarez,viral,AA,0.1158
79,CVB3_3B_Alvarez,viral,AA,0.0711
80,RsYN04_RBD_Starr,viral,AA,0.0062
81,DENV_POLG_Suphatrakul,viral,AA,0.0537
82,HIV1_BG505_ENV_Haddox,viral,AA,0.0405
83,IAV_PB2_Soh,viral,AA,0.0267
84,CVB3_POLG_Mattenberger,viral,AA,0.0517
85,IAV_NA_Jiang,viral,AA,0.1354
86,IAV_H1_HA_Wu,viral,AA,0.015
87,CVB3_VP1_Alvarez,viral,AA,0.0377
88,SARS2_DELTA_SPIKE_Dadonaite,viral,AA,0.0086
89,EV_REP_Bakhache,viral,AA,0.0363
90,CVB3_3D_Alvarez,viral,AA,0.0294
91,NIPAH_F_Larsen,viral,AA,0.0659
92,IAV_H5_HA_Dadonaite,viral,AA,0.0578
93,SARS2_XBB15_RBD_Taylor,viral,AA,0.0196
94,HIV1_BF520_ENV_Haddox,viral,AA,0.0265
95,CVB3_VP3_Alvarez,viral,AA,0.0472
96,IAV_H3_HA_Lee,viral,AA,0.0315
97,RmYN02_RBD_Starr,viral,AA,0.01
98,IAV_H3_NP_Doud,viral,AA,0.034
99,IAV_H1_HA_Doud,viral,AA,0.0402
100,IAV_H1_NP_Doud,viral,AA,0.0464
101,IAV_PA_Wu,viral,AA,0.0185
102,SARS2_MRPO_Flynn,viral,AA,0.0526
103,SARS2_PLPRO_abundance_Wu,viral,AA,0.038
104,LAMBDA_HCP_Tsuboyama,viral,AA,0.1253
105,SARS2_PRD0038_RBD_Starr,viral,AA,0.0204
106,CVB3_3C_Alvarez,viral,AA,0.028
107,CVB3_2C_Alvarez,viral,AA,0.0547
108,LASSA_GP_Carr,viral,AA,0.0523
109,SARS2_RBD_binding_Starr,viral,AA,0.0344
110,CVB3_2A_Alvarez,viral,AA,0.0556
111,CVB3_3A_Alvarez,viral,AA,0.0557
112,SARS2_PLPRO_activity_Wu,viral,AA,0.0494
113,SARS2_BA1_SPIKE_Dadonaite,viral,AA,0.021
114,SARS2_RBD_expression_Starr,viral,AA,0.0136
115,TIM_THETH,cellular,AA,0.0629
116,TIM_THEMA,cellular,AA,0.046
117,MK01_HUMAN_Johannessen,cellular,AA,0.0356
118,IF1_ECOLI,cellular,AA,0.0872
119,TIM_SULSO,cellular,AA,0.0691
120,RL401_YEAST_Fraser2016,cellular,AA,0.063
121,RASH_HUMAN_Kuriyan,cellular,AA,0.0513
122,MTH3_HAEAESTABILIZED_Tawfik2015,cellular,AA,0.0356
123,AMIE_PSEAE_Whitehead,cellular,AA,0.0449
124,TPMT_HUMAN_Fowler2018,cellular,AA,0.1491
125,PTEN_HUMAN_Fowler2018,cellular,AA,0.1318
126,BG_STRSQ_hmmerbit,cellular,AA,0.0579
127,DLG4_RAT_Ranganathan2012,cellular,AA,0.0703
128,TPK1_HUMAN_Roth2017,cellular,AA,0.0265
129,GAL4_YEAST_Shendure2015,cellular,AA,0.0286
130,UBE4B_MOUSE_Klevit2013_singles,cellular,AA,0.0281
131,PABP_YEAST_Fields2013_singles,cellular,AA,0.0807
132,HSP82_YEAST_Bolon2016,cellular,AA,0.0392
133,BLAT_ECOLX_Ostermeier2014,cellular,AA,0.0521
134,BRCA1_HUMAN_RING,cellular,AA,0.1059
135,KKA2_KLEPN_Mikkelsen2014,cellular,AA,0.0297
136,UBC9_HUMAN_Roth2017,cellular,AA,0.0271
137,BLAT_ECOLX_Tenaillon2013,cellular,AA,0.101
138,SUMO1_HUMAN_Roth2017,cellular,AA,0.0249
139,CALM1_HUMAN_Roth2017,cellular,AA,0.0246
140,BLAT_ECOLX_Ranganathan2015,cellular,AA,0.0709
141,BRCA1_HUMAN_BRCT,cellular,AA,0.0382
142,YAP1_HUMAN_Fields2012_singles,cellular,AA,0.0866
143,B3VI55_LIPST_Whitehead2015,cellular,AA,0.0114
144,B3VI55_LIPSTSTABLE,cellular,AA,0.0732
145,RL401_YEAST_Bolon2013,cellular,AA,0.076
146,RL401_YEAST_Bolon2014,cellular,AA,0.071
147,BLAT_ECOLX_Palzkill2012,cellular,AA,0.0375
148,HIV1_HV1B9_ENV_DuenasDecamp,viral,site+AA,0.3486
149,BPP22_COAT_Tsuboyama,viral,site+AA,0.7677
150,IAV_RDRP_Li,viral,site+AA,0.4163
151,EV_CAPSD_Bakhache,viral,site+AA,0.3599
152,CVB3_2B_Alvarez,viral,site+AA,0.4581
153,CVB3_3B_Alvarez,viral,site+AA,0.5248
154,RsYN04_RBD_Starr,viral,site+AA,0.6834
155,DENV_POLG_Suphatrakul,viral,site+AA,0.6494
156,HIV1_BG505_ENV_Haddox,viral,site+AA,0.6969
157,IAV_PB2_Soh,viral,site+AA,0.5769
158,CVB3_POLG_Mattenberger,viral,site+AA,0.5973
159,IAV_NA_Jiang,viral,site+AA,0.6911
160,IAV_H1_HA_Wu,viral,site+AA,0.3587
161,CVB3_VP1_Alvarez,viral,site+AA,0.4089
162,SARS2_DELTA_SPIKE_Dadonaite,viral,site+AA,0.1979
163,EV_REP_Bakhache,viral,site+AA,0.443
164,CVB3_3D_Alvarez,viral,site+AA,0.3929
165,NIPAH_F_Larsen,viral,site+AA,0.6199
166,IAV_H5_HA_Dadonaite,viral,site+AA,0.6081
167,SARS2_XBB15_RBD_Taylor,viral,site+AA,0.6875
168,HIV1_BF520_ENV_Haddox,viral,site+AA,0.7123
169,CVB3_VP3_Alvarez,viral,site+AA,0.3034
170,IAV_H3_HA_Lee,viral,site+AA,0.6521
171,RmYN02_RBD_Starr,viral,site+AA,0.3676
172,IAV_H3_NP_Doud,viral,site+AA,0.5833
173,IAV_H1_HA_Doud,viral,site+AA,0.6481
174,IAV_H1_NP_Doud,viral,site+AA,0.4192
175,IAV_PA_Wu,viral,site+AA,0.5419
176,SARS2_MRPO_Flynn,viral,site+AA,0.7513
177,SARS2_PLPRO_abundance_Wu,viral,site+AA,0.556
178,LAMBDA_HCP_Tsuboyama,viral,site+AA,0.7645
179,SARS2_PRD0038_RBD_Starr,viral,site+AA,0.6682
180,CVB3_3C_Alvarez,viral,site+AA,0.396
181,CVB3_2C_Alvarez,viral,site+AA,0.409
182,LASSA_GP_Carr,viral,site+AA,0.5254
183,SARS2_RBD_binding_Starr,viral,site+AA,0.7194
184,CVB3_2A_Alvarez,viral,site+AA,0.6553
185,CVB3_3A_Alvarez,viral,site+AA,0.4731
186,SARS2_PLPRO_activity_Wu,viral,site+AA,0.7262
187,SARS2_BA1_SPIKE_Dadonaite,viral,site+AA,0.4674
188,SARS2_RBD_expression_Starr,viral,site+AA,0.749
189,TIM_THETH,cellular,site+AA,0.5578
190,TIM_THEMA,cellular,site+AA,0.4836
191,MK01_HUMAN_Johannessen,cellular,site+AA,0.2861
192,IF1_ECOLI,cellular,site+AA,0.5903
193,TIM_SULSO,cellular,site+AA,0.5257
194,RL401_YEAST_Fraser2016,cellular,site+AA,0.5154
195,RASH_HUMAN_Kuriyan,cellular,site+AA,0.5948
196,MTH3_HAEAESTABILIZED_Tawfik2015,cellular,site+AA,0.5813
197,AMIE_PSEAE_Whitehead,cellular,site+AA,0.5166
198,TPMT_HUMAN_Fowler2018,cellular,site+AA,0.4886
199,PTEN_HUMAN_Fowler2018,cellular,site+AA,0.6048
200,BG_STRSQ_hmmerbit,cellular,site+AA,0.4271
201,DLG4_RAT_Ranganathan2012,cellular,site+AA,0.5979
202,TPK1_HUMAN_Roth2017,cellular,site+AA,0.1723
203,GAL4_YEAST_Shendure2015,cellular,site+AA,0.5211
204,UBE4B_MOUSE_Klevit2013_singles,cellular,site+AA,0.4153
205,PABP_YEAST_Fields2013_singles,cellular,site+AA,0.6553
206,HSP82_YEAST_Bolon2016,cellular,site+AA,0.6765
207,BLAT_ECOLX_Ostermeier2014,cellular,site+AA,0.6053
208,BRCA1_HUMAN_RING,cellular,site+AA,0.6094
209,KKA2_KLEPN_Mikkelsen2014,cellular,site+AA,0.5319
210,UBC9_HUMAN_Roth2017,cellular,site+AA,0.4276
211,BLAT_ECOLX_Tenaillon2013,cellular,site+AA,0.6964
212,SUMO1_HUMAN_Roth2017,cellular,site+AA,0.3676
213,CALM1_HUMAN_Roth2017,cellular,site+AA,0.1464
214,BLAT_ECOLX_Ranganathan2015,cellular,site+AA,0.7014
215,BRCA1_HUMAN_BRCT,cellular,site+AA,0.5033
216,YAP1_HUMAN_Fields2012_singles,cellular,site+AA,0.6091
217,B3VI55_LIPST_Whitehead2015,cellular,site+AA,0.2705
218,B3VI55_LIPSTSTABLE,cellular,site+AA,0.4354
219,RL401_YEAST_Bolon2013,cellular,site+AA,0.5773
220,RL401_YEAST_Bolon2014,cellular,site+AA,0.5871
221,BLAT_ECOLX_Palzkill2012,cellular,site+AA,0.5307
