,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
0,ESM-2 650M,viral,Pooled Split,IAV_NA_Jiang,1,0.5670823321174597,0.4896584052437304,0.6639038095441143,0.5069399059556352,0.5314082173863448,0.6745567509533966,0.7626745841602359,0.6926924145596,69,453
1,ESM-2 650M,viral,Pooled Split,IAV_NA_Jiang,2,0.5702007958516648,0.4690758558303686,0.6210798949096548,0.4068858144919253,0.7218351610108548,0.9014399623813169,0.7646622655205826,0.6365101417060296,56,453
2,ESM-2 650M,viral,Pooled Split,IAV_NA_Jiang,3,0.6324045461037084,0.4489902734095758,0.6023887128279903,0.4199136062645175,0.6094193151240737,0.7763960291468001,0.7970820339152028,0.5575993331480967,78,453
3,ESM-2 650M,viral,Pooled Split,IAV_NA_Jiang,4,0.6478976894805808,0.4179840677828543,0.5718994465711876,0.3208181973094945,0.7525576823617299,0.9326557961516762,0.8165413721232364,0.5665462628507919,71,453
4,ESM-2 650M,viral,Pooled Split,IAV_NA_Jiang,5,0.5974742091413608,0.4702265922247811,0.6270290096553618,0.4203795307517791,0.637955488116622,0.7955274396211535,0.7922174218980533,0.552820227841067,66,453
5,ESM-2 650M,viral,Pooled Split,SARS2_DELTA_SPIKE_Dadonaite,1,0.0455334644613669,0.4027441706328515,0.9815151758894456,0.0148365756076354,0.4091323062425923,0.973862824183824,0.2154155840591597,0.2140123211611409,44,1250
6,ESM-2 650M,viral,Pooled Split,SARS2_DELTA_SPIKE_Dadonaite,2,0.0511567008659353,0.4051999694712917,1.0055041250290144,0.0401257484311915,0.3940164443265843,0.841486622114737,0.2485925062566746,0.2126809713433615,76,1250
7,ESM-2 650M,viral,Pooled Split,SARS2_DELTA_SPIKE_Dadonaite,3,0.0677096235021839,0.3911780686249699,0.8911550349869514,0.022619871973573,0.4133058010784647,1.2475259969150794,0.2736060755945156,0.2346741539123438,102,1250
8,ESM-2 650M,viral,Pooled Split,SARS2_DELTA_SPIKE_Dadonaite,4,0.0582673063662604,0.4017556504065576,1.007165002580631,0.0343330632402411,0.396890167770961,0.8171746603553312,0.2453724899289837,0.2429355177909935,71,1250
9,ESM-2 650M,viral,Pooled Split,SARS2_DELTA_SPIKE_Dadonaite,5,0.0603154618412878,0.4021726562023405,1.0114616191001056,0.013326068989195,0.3941193570759812,0.7978878183010467,0.2461299010914234,0.2133255977856772,75,1250
