,Dataset,Source,Split,R2_AVG,R2_ESM2_650M
0,AMIE_PSEAE_Whitehead,cellular,pool_split,0.405258260159101,0.48618777776787975
1,B3VI55_LIPSTSTABLE,cellular,pool_split,0.2540944248500056,0.4685314880883832
2,B3VI55_LIPST_Whitehead2015,cellular,pool_split,0.16233250036501856,0.25670130307350386
3,BG_STRSQ_hmmerbit,cellular,pool_split,0.10200042679942163,0.42751039061207574
4,BLAT_ECOLX_Ostermeier2014,cellular,pool_split,0.45509491815450404,0.6661545372419098
5,BLAT_ECOLX_Palzkill2012,cellular,pool_split,0.4300071560175332,0.560036684808655
6,BLAT_ECOLX_Ranganathan2015,cellular,pool_split,0.5840551894619822,0.7200242416948767
7,BLAT_ECOLX_Tenaillon2013,cellular,pool_split,0.24748628903256564,0.5037916865705231
8,BPP22_COAT_Tsuboyama,viral,pool_split,0.5514156387331723,0.8151992713597206
9,BRCA1_HUMAN_BRCT,cellular,pool_split,0.25521533353944376,0.4625931577558606
10,BRCA1_HUMAN_RING,cellular,pool_split,0.3477881895179966,0.5492209628247351
11,CALM1_HUMAN_Roth2017,cellular,pool_split,-0.0474662672516253,0.04568113459058816
12,CVB3_2A_Alvarez,viral,pool_split,0.5437504746487545,0.5839309110791823
13,CVB3_2B_Alvarez,viral,pool_split,0.2594361556055724,0.48727406879757124
14,CVB3_2C_Alvarez,viral,pool_split,0.2501809114886469,0.45615357431659687
15,CVB3_3A_Alvarez,viral,pool_split,0.2786165716068542,0.5333599067053045
16,CVB3_3B_Alvarez,viral,pool_split,0.5013960744103936,0.5416079406725729
17,CVB3_3C_Alvarez,viral,pool_split,0.3277296209725238,0.4932811538179654
18,CVB3_3D_Alvarez,viral,pool_split,0.2811274039537483,0.4322097971987051
19,CVB3_POLG_Mattenberger,viral,pool_split,0.48793306052886704,0.3063560486398753
20,CVB3_VP1_Alvarez,viral,pool_split,0.2711849377954214,0.352561646700302
21,CVB3_VP3_Alvarez,viral,pool_split,0.14723986516299653,0.27934488516038575
22,DENV_POLG_Suphatrakul,viral,pool_split,0.5517422883064163,0.3450676550803221
23,DLG4_RAT_Ranganathan2012,cellular,pool_split,0.47382336455018076,0.5805342517622303
24,EV_CAPSD_Bakhache,viral,pool_split,0.23140438994154,0.16652475563467345
25,EV_REP_Bakhache,viral,pool_split,0.3236901246004185,0.2571941216794743
26,GAL4_YEAST_Shendure2015,cellular,pool_split,0.3918699809985445,0.4447695750594618
27,HIV1_BF520_ENV_Haddox,viral,pool_split,0.6460453538598504,0.4166820737065621
28,HIV1_BG505_ENV_Haddox,viral,pool_split,0.6159435158979398,0.4199977259321317
29,HIV1_HV1B9_ENV_DuenasDecamp,viral,pool_split,0.21869697394667206,0.11305935622185204
30,HSP82_YEAST_Bolon2016,cellular,pool_split,0.5755143270796355,0.6825475926695596
31,IAV_H1_HA_Doud,viral,pool_split,0.5493610307680372,0.467974834508725
32,IAV_H1_HA_Wu,viral,pool_split,-0.23053993153734595,0.033531409372446364
33,IAV_H1_NP_Doud,viral,pool_split,0.29427574565432035,0.2151105634215403
34,IAV_H3_HA_Lee,viral,pool_split,0.5716000754921993,0.43110692462898764
35,IAV_H3_NP_Doud,viral,pool_split,0.4656764337269624,0.32243233550735606
36,IAV_H5_HA_Dadonaite,viral,pool_split,0.48268188373836235,0.4514140973031682
37,IAV_NA_Jiang,viral,pool_split,0.46671333782741287,0.4149874109546703
38,IAV_PA_Wu,viral,pool_split,-0.36679217150053584,0.02644054874585946
39,IAV_PB2_Soh,viral,pool_split,0.45992055144536953,0.2530761290469108
40,IAV_RDRP_Li,viral,pool_split,0.2736260483129728,0.24821353198114862
41,IF1_ECOLI,cellular,pool_split,0.35418805338641884,0.6242786491706649
42,KKA2_KLEPN_Mikkelsen2014,cellular,pool_split,0.4526502634427947,0.47810628881370576
43,LAMBDA_HCP_Tsuboyama,viral,pool_split,0.6530601009571293,0.8407948185636697
44,LASSA_GP_Carr,viral,pool_split,0.410884334798533,0.3683938926999416
45,MK01_HUMAN_Johannessen,cellular,pool_split,0.1328181681521322,0.1788196898488067
