,Dataset,Source,Split,R2_AVG_HVS,R2_ESM2_650M_HVS
0,AMIE_PSEAE_Whitehead,cellular,pool_split,0.13429557717565951,0.3863825091448372
1,B3VI55_LIPSTSTABLE,cellular,pool_split,0.0829519662482815,0.41999575165490527
2,B3VI55_LIPST_Whitehead2015,cellular,pool_split,0.15313299122892565,0.2709759339985249
3,BG_STRSQ_hmmerbit,cellular,pool_split,-0.2200953453554705,0.33816194652239645
4,BLAT_ECOLX_Ostermeier2014,cellular,pool_split,0.20827885226491394,0.6190147975279706
5,BLAT_ECOLX_Palzkill2012,cellular,pool_split,0.2677777388879735,0.5539141760857206
6,BLAT_ECOLX_Ranganathan2015,cellular,pool_split,0.1002195981343033,0.634729660046192
7,BLAT_ECOLX_Tenaillon2013,cellular,pool_split,-0.5513007490330637,0.33443377862639867
8,BPP22_COAT_Tsuboyama,viral,pool_split,0.31117230858343503,0.7583780358383162
9,BRCA1_HUMAN_BRCT,cellular,pool_split,-0.024870296117440165,0.42994307343760774
10,BRCA1_HUMAN_RING,cellular,pool_split,0.14049825081488704,0.48592575682506683
11,CALM1_HUMAN_Roth2017,cellular,pool_split,-0.08080931471111592,0.0415125036622546
12,CVB3_2A_Alvarez,viral,pool_split,0.12673330860191792,0.5453015750635322
13,CVB3_2B_Alvarez,viral,pool_split,0.11882349488650246,0.427299478430545
14,CVB3_2C_Alvarez,viral,pool_split,0.13213065095027676,0.44969083732606707
15,CVB3_3A_Alvarez,viral,pool_split,0.03653761273649656,0.3920820816949009
16,CVB3_3B_Alvarez,viral,pool_split,0.14968192030481117,0.4983323612179235
17,CVB3_3C_Alvarez,viral,pool_split,0.1325554646714542,0.4413407464767296
18,CVB3_3D_Alvarez,viral,pool_split,0.13380863040343402,0.40705454796684637
19,CVB3_POLG_Mattenberger,viral,pool_split,0.3391594344641409,0.38280719984113337
20,CVB3_VP1_Alvarez,viral,pool_split,0.1635388746769263,0.27805342256136495
21,CVB3_VP3_Alvarez,viral,pool_split,0.10304225205469676,0.28355154931906285
22,DENV_POLG_Suphatrakul,viral,pool_split,0.1632885092001242,0.3718663639032234
23,DLG4_RAT_Ranganathan2012,cellular,pool_split,0.2527316467280615,0.45139156833814686
24,EV_CAPSD_Bakhache,viral,pool_split,0.1700034309002716,0.19570643211788039
25,EV_REP_Bakhache,viral,pool_split,0.20591077256832993,0.2846219102038095
26,GAL4_YEAST_Shendure2015,cellular,pool_split,0.24688117106987295,0.30103716301995165
27,HIV1_BF520_ENV_Haddox,viral,pool_split,0.2402660054105108,0.298957763003727
28,HIV1_BG505_ENV_Haddox,viral,pool_split,0.23527384030800347,0.4291399602487355
29,HIV1_HV1B9_ENV_DuenasDecamp,viral,pool_split,0.0929519619786978,0.005224497072534165
30,HSP82_YEAST_Bolon2016,cellular,pool_split,0.4230908771312311,0.636268808210508
31,IAV_H1_HA_Doud,viral,pool_split,0.33800752743160584,0.4773640906579117
32,IAV_H1_HA_Wu,viral,pool_split,-1.6839931615278498,-0.0563377584056392
33,IAV_H1_NP_Doud,viral,pool_split,0.17714801350567866,0.2093406160788193
34,IAV_H3_HA_Lee,viral,pool_split,0.3504412049154994,0.46811923155684515
35,IAV_H3_NP_Doud,viral,pool_split,0.37363900163220726,0.36344914681383894
36,IAV_H5_HA_Dadonaite,viral,pool_split,0.1128871474774452,0.33956882181326814
37,IAV_NA_Jiang,viral,pool_split,0.033196438272303806,0.261846568017822
38,IAV_PA_Wu,viral,pool_split,-0.9543241557052236,-0.014427580679049035
39,IAV_PB2_Soh,viral,pool_split,0.22093585389796977,0.21183235638349426
40,IAV_RDRP_Li,viral,pool_split,0.17959854599506728,0.2607544490958651
41,IF1_ECOLI,cellular,pool_split,0.18020224834589968,0.6195175671438894
42,KKA2_KLEPN_Mikkelsen2014,cellular,pool_split,0.1924370371324398,0.29139907682757993
43,LAMBDA_HCP_Tsuboyama,viral,pool_split,0.3486103949545231,0.8094455143327618
44,LASSA_GP_Carr,viral,pool_split,0.1394122885965714,0.24631298251252265
45,MK01_HUMAN_Johannessen,cellular,pool_split,0.11651291674214996,0.14883365292586995
46,MTH3_HAEAESTABILIZED_Tawfik2015,cellular,pool_split,-0.22768102098633794,0.21724744013986988
47,NIPAH_F_Larsen,viral,pool_split,0.17437354995418222,0.41633146445567243
48,PABP_YEAST_Fields2013_singles,cellular,pool_split,0.11998664502120658,0.4753429663705481
49,PTEN_HUMAN_Fowler2018,cellular,pool_split,0.18848179951479305,0.447136948118271
50,RASH_HUMAN_Kuriyan,cellular,pool_split,0.23531943818205128,0.5091845163223349
51,RL401_YEAST_Bolon2013,cellular,pool_split,0.13231488633336763,0.4336976635373498
52,RL401_YEAST_Bolon2014,cellular,pool_split,0.031396464483121105,0.493124279762674
53,RL401_YEAST_Fraser2016,cellular,pool_split,0.09405816607090738,0.3765478541832524
54,RmYN02_RBD_Starr,viral,pool_split,-0.0762977211055479,-0.0247341296241506
55,RsYN04_RBD_Starr,viral,pool_split,0.5532790887008017,0.39984626753142355
56,SARS2_BA1_SPIKE_Dadonaite,viral,pool_split,-0.009836488208501299,0.16885909190669265
57,SARS2_DELTA_SPIKE_Dadonaite,viral,pool_split,-0.5023959279481921,-0.006695530989321369
58,SARS2_MRPO_Flynn,viral,pool_split,0.0716644585368407,0.4541525240752609
59,SARS2_PLPRO_abundance_Wu,viral,pool_split,0.22829968624049743,0.2985058366348715
60,SARS2_PLPRO_activity_Wu,viral,pool_split,0.21347858401464026,0.45729070986855386
61,SARS2_PRD0038_RBD_Starr,viral,pool_split,0.254118899328944,0.28534584899582466
62,SARS2_RBD_binding_Starr,viral,pool_split,0.23654874452738336,0.37582411152054
63,SARS2_RBD_expression_Starr,viral,pool_split,0.2230823882754085,0.3519169144560173
64,SARS2_XBB15_RBD_Taylor,viral,pool_split,0.20250745625983504,0.32071053587623183
65,SUMO1_HUMAN_Roth2017,cellular,pool_split,0.15646852403263212,0.3701727495397023
66,TIM_SULSO,cellular,pool_split,0.16962494419998989,0.5041633264478934
67,TIM_THEMA,cellular,pool_split,0.18611801135665343,0.48161643933829096
68,TIM_THETH,cellular,pool_split,0.04451598578644373,0.5607445001770824
69,TPK1_HUMAN_Roth2017,cellular,pool_split,-0.020813437647471733,0.09349218931177578
70,TPMT_HUMAN_Fowler2018,cellular,pool_split,0.1724606330046349,0.40874296900385687
71,UBC9_HUMAN_Roth2017,cellular,pool_split,0.12684953474424904,0.28625395032234874
72,UBE4B_MOUSE_Klevit2013_singles,cellular,pool_split,-0.11963233942506747,0.17187637520348406
73,YAP1_HUMAN_Fields2012_singles,cellular,pool_split,0.2031834375381958,0.4453162363896381
