,Dataset,Source,Split,R2_AVG,R2_ESM2_3B_Sawhney,R2_ESM2_650M,R2_ESM2_CRVDB,R2_ESM2_URVDB,R2_ESMC_600M
0,AMIE_PSEAE_Whitehead,cellular,pool_split,0.405258260159101,0.5407314662431892,0.48618777776787975,0.49676624704331634,0.4863373369010901,0.4767937377257826
1,B3VI55_LIPSTSTABLE,cellular,pool_split,0.2540944248500056,0.5236197645045723,0.4685314880883832,0.4536810418848275,0.4505014306311231,0.42055875655122377
2,B3VI55_LIPST_Whitehead2015,cellular,pool_split,0.16233250036501856,0.28982728214550074,0.25670130307350386,0.23873847017473437,0.24326058847469417,0.23126485902158325
3,BG_STRSQ_hmmerbit,cellular,pool_split,0.10200042679942163,0.46065687040224923,0.42751039061207574,0.40576348251632427,0.4019352079285833,0.539194442296564
4,BLAT_ECOLX_Ostermeier2014,cellular,pool_split,0.45509491815450404,0.7242903260706832,0.6661545372419098,0.6547713688970601,0.654152980800697,0.6534267152955369
5,BLAT_ECOLX_Palzkill2012,cellular,pool_split,0.4300071560175332,0.6294770189331395,0.560036684808655,0.5711607226837702,0.5598894690956154,0.5586371560914809
6,BLAT_ECOLX_Ranganathan2015,cellular,pool_split,0.5840551894619822,0.7501005196739702,0.7200242416948767,0.7125112412331909,0.7166303986677406,0.7110603172712051
7,BLAT_ECOLX_Tenaillon2013,cellular,pool_split,0.24748628903256564,0.4836600182738561,0.5037916865705231,0.5171113184942342,0.4683587152124674,0.6221080053822637
8,BPP22_COAT_Tsuboyama,viral,pool_split,0.5514156387331723,0.8208944689587099,0.8151992713597206,0.8190075711602038,0.7929789463774453,0.859637665122329
9,BRCA1_HUMAN_BRCT,cellular,pool_split,0.25521533353944376,0.46612937829221635,0.4625931577558606,0.4472806544105385,0.45032503327320167,0.4858385142238751
10,BRCA1_HUMAN_RING,cellular,pool_split,0.3477881895179966,0.5417997451449734,0.5492209628247351,0.561349307601141,0.5301204119962311,0.5483779915439252
11,CALM1_HUMAN_Roth2017,cellular,pool_split,-0.0474662672516253,0.0684528345285605,0.04568113459058816,0.04229233835586646,0.046507244469433065,0.11136534120742936
12,CVB3_2A_Alvarez,viral,pool_split,0.5437504746487545,0.7071674279246297,0.5839309110791823,0.6276283588139132,0.6184549323638124,0.525020543336581
13,CVB3_2B_Alvarez,viral,pool_split,0.2594361556055724,0.5505268212122355,0.48727406879757124,0.5113338388051323,0.517781847644792,0.4164450886126653
14,CVB3_2C_Alvarez,viral,pool_split,0.2501809114886469,0.5456137311224484,0.45615357431659687,0.4907470120395468,0.4816974301076892,0.31419394241232446
15,CVB3_3A_Alvarez,viral,pool_split,0.2786165716068542,0.5607481962198021,0.5333599067053045,0.5112399138164456,0.5595092767274937,0.45415972175192715
16,CVB3_3B_Alvarez,viral,pool_split,0.5013960744103936,0.5280005284760209,0.5416079406725729,0.5253973247278788,0.5397880822214891,0.4460057517714013
17,CVB3_3C_Alvarez,viral,pool_split,0.3277296209725238,0.5923021330967725,0.4932811538179654,0.5175461075003642,0.5077711436302664,0.3718770008083513
18,CVB3_3D_Alvarez,viral,pool_split,0.2811274039537483,0.5574529918444988,0.4322097971987051,0.47290690450513245,0.4765246564901898,0.30851506851699734
19,CVB3_POLG_Mattenberger,viral,pool_split,0.48793306052886704,0.398107357486068,0.3063560486398753,0.3010160726135834,0.31777143862297913,0.2068543077635924
20,CVB3_VP1_Alvarez,viral,pool_split,0.2711849377954214,0.38736985661552464,0.352561646700302,0.34142610832657755,0.3683764152600931,0.26457169172179784
21,CVB3_VP3_Alvarez,viral,pool_split,0.14723986516299653,0.35265894457060015,0.27934488516038575,0.30043137712047563,0.298469469299283,0.21834893243916947
22,DENV_POLG_Suphatrakul,viral,pool_split,0.5517422883064163,0.40362039105943615,0.3450676550803221,0.323128776997451,0.34645338046122537,0.2985606691210384
23,DLG4_RAT_Ranganathan2012,cellular,pool_split,0.47382336455018076,0.605128529391614,0.5805342517622303,0.5580992652151445,0.6025357784339342,0.6498656458003963
24,EV_CAPSD_Bakhache,viral,pool_split,0.23140438994154,0.23019568578275354,0.16652475563467345,0.18645052181917765,0.18816608706646756,0.12625887161520807
25,EV_REP_Bakhache,viral,pool_split,0.3236901246004185,0.34999142635965896,0.2571941216794743,0.2732980167909209,0.26736253730512993,0.1636570589975725
26,GAL4_YEAST_Shendure2015,cellular,pool_split,0.3918699809985445,0.42846611659283756,0.4447695750594618,0.41768084869566985,0.40647131635451056,0.3937250277706528
27,HIV1_BF520_ENV_Haddox,viral,pool_split,0.6460453538598504,0.4849079987161532,0.4166820737065621,0.4544825832378758,0.4474735514368041,0.36702405876612343
28,HIV1_BG505_ENV_Haddox,viral,pool_split,0.6159435158979398,0.5114413825429467,0.4199977259321317,0.4786782312077632,0.4557640464060615,0.3873692408535965
29,HIV1_HV1B9_ENV_DuenasDecamp,viral,pool_split,0.21869697394667206,0.06382766271844934,0.11305935622185204,0.14655788754613402,0.06465970885483288,0.2326985002306728
30,HSP82_YEAST_Bolon2016,cellular,pool_split,0.5755143270796355,0.6977413029481758,0.6825475926695596,0.6724110838408445,0.6575525658111688,0.6607127424089543
31,IAV_H1_HA_Doud,viral,pool_split,0.5493610307680372,0.5559326377236888,0.467974834508725,0.45916675719117456,0.46578548755596794,0.332553629895073
32,IAV_H1_HA_Wu,viral,pool_split,-0.23053993153734595,0.036626308872240845,0.033531409372446364,0.0229203080931843,0.03874602179637584,0.00629112525304132
33,IAV_H1_NP_Doud,viral,pool_split,0.29427574565432035,0.22263144239376276,0.2151105634215403,0.24417506528930816,0.24574282143895348,0.16696021316388912
34,IAV_H3_HA_Lee,viral,pool_split,0.5716000754921993,0.5536456458062882,0.43110692462898764,0.4671765248968181,0.46255153808546245,0.3757011643938434
35,IAV_H3_NP_Doud,viral,pool_split,0.4656764337269624,0.3797132785039419,0.32243233550735606,0.3387017694800454,0.33649644197705386,0.3129332954806992
36,IAV_H5_HA_Dadonaite,viral,pool_split,0.48268188373836235,0.546554103096896,0.4514140973031682,0.45728496193799784,0.41150931495183984,0.34098827288940103
37,IAV_NA_Jiang,viral,pool_split,0.46671333782741287,0.31420366275649403,0.4149874109546703,0.4377032785840558,0.38376667351802957,0.4055990722016796
