,Model,Source,Dataset,Split,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,num_nonzero_coefs,RVSM,FHVS,coverage,prot_length
0,ESM-2 650M,cellular,AMIE_PSEAE_Whitehead,Pooled Split,0.5932740623967262,0.4737178409899446,0.6374220018355528,0.7949037860115663,0.48618777776787975,0.5251125552229015,0.7171397999881238,0.7380937706591915,444.8,0.6843693445943011,0.5043988269794721,0.9491329479768786,346
1,ESM-2 650M,cellular,AMIE_PSEAE_Whitehead,Site Split,0.3746950276573783,0.6043376351984621,0.7957778734250103,0.6470424753613392,0.23179307998689375,0.6479254541652871,0.8454610337555613,0.504309214559792,79.6,0.6843693445943011,0.5043988269794721,0.9491329479768786,346
2,ESM-2 650M,cellular,B3VI55_LIPSTSTABLE,Pooled Split,0.5560101229915929,0.5291181542987836,0.665333950211592,0.7645237860007108,0.4685314880883832,0.5798321040537607,0.7332037177700383,0.713379234275024,590.4,0.5960028353420278,0.6605922551252847,0.948633257403189,439
3,ESM-2 650M,cellular,B3VI55_LIPSTSTABLE,Site Split,0.3620781178046186,0.6434271547230213,0.7985412958005897,0.6429354946441904,0.24356820574019578,0.7003445798714449,0.8682676856183068,0.5450769527640895,89.6,0.5960028353420278,0.6605922551252847,0.948633257403189,439
4,ESM-2 650M,cellular,B3VI55_LIPST_Whitehead2015,Pooled Split,0.3608283941433751,0.607811814103876,0.800281673462505,0.5626544144043162,0.25670130307350386,0.6508746943214576,0.8579563197162269,0.47447876215942497,533.0,0.5139566239476339,0.7494305239179955,0.9187927107061503,439
5,ESM-2 650M,cellular,B3VI55_LIPST_Whitehead2015,Site Split,0.16928948810769473,0.6819386667162235,0.9148708380710945,0.42062011986051573,0.11621916760872197,0.6952513767997267,0.9238182065428964,0.37213641899671657,50.0,0.5139566239476339,0.7494305239179955,0.9187927107061503,439
6,ESM-2 650M,cellular,BG_STRSQ_hmmerbit,Pooled Split,0.609863466093925,0.46608544609846314,0.6235029034913103,0.7528564392508914,0.42751039061207574,0.5578886810264871,0.761146037986107,0.6570999778223574,357.2,0.6007825452247766,0.5269461077844312,0.34930139720558884,501
7,ESM-2 650M,cellular,BG_STRSQ_hmmerbit,Site Split,0.459963834381876,0.547508703076925,0.7352360772173233,0.6735659852228412,0.35254377821464966,0.6025064110378178,0.7979612224385797,0.5953305370369198,125.2,0.6007825452247766,0.5269461077844312,0.34930139720558884,501
8,ESM-2 650M,cellular,BLAT_ECOLX_Ostermeier2014,Pooled Split,0.7213920969983223,0.4150679999002366,0.5275523355208739,0.8625083536712699,0.6661545372419098,0.45359705143720125,0.5782427284070536,0.8342099984594913,414.2,0.7451304482871466,0.4125874125874126,0.955944055944056,286
9,ESM-2 650M,cellular,BLAT_ECOLX_Ostermeier2014,Site Split,0.5491861399831128,0.5440922618386299,0.6700254557463649,0.7659311834211185,0.4027523173111202,0.622115205489852,0.7672675551509748,0.6632246076061603,102.4,0.7451304482871466,0.4125874125874126,0.955944055944056,286
10,ESM-2 650M,cellular,BLAT_ECOLX_Palzkill2012,Pooled Split,0.6626517978444326,0.46688698189789174,0.5802369269826443,0.8255413876111914,0.560036684808655,0.5361285627744119,0.6652608369099753,0.7599616147638139,483.8,0.7034240524315979,0.5627376425855514,0.9194055944055944,286
11,ESM-2 650M,cellular,BLAT_ECOLX_Palzkill2012,Site Split,0.31351066295966007,0.6916302873709643,0.8277414928604513,0.5859462405510032,0.21177747341039027,0.7391832396742799,0.8842616939567225,0.5031306872791488,53.0,0.7034240524315979,0.5627376425855514,0.9194055944055944,286
12,ESM-2 650M,cellular,BLAT_ECOLX_Ranganathan2015,Pooled Split,0.7944355324764176,0.3578471868939072,0.4526664583067162,0.8888072124408927,0.7200242416948767,0.4177788205204395,0.5318801377020131,0.8507727621986085,522.8,0.7960362551307779,0.33079847908745247,0.8734265734265734,286
13,ESM-2 650M,cellular,BLAT_ECOLX_Ranganathan2015,Site Split,0.6285608118750522,0.49972816522806723,0.6092335169538373,0.8117013231338006,0.4415469991817343,0.5982331938772203,0.7391335964757741,0.6785313873481549,133.2,0.7960362551307779,0.33079847908745247,0.8734265734265734,286
14,ESM-2 650M,cellular,BLAT_ECOLX_Tenaillon2013,Pooled Split,0.7648363364902466,0.37318565843723617,0.48118443586421406,0.8032297165809374,0.5037916865705231,0.5452010820308117,0.710632857043817,0.6730207009414585,205.0,0.7895347203949082,0.33840304182509506,0.1729020979020979,286
15,ESM-2 650M,cellular,BLAT_ECOLX_Tenaillon2013,Site Split,0.6102467802045467,0.4838065405688391,0.6167291906662071,0.7249897895216023,0.4066344652551875,0.6145024829028058,0.7964583731352485,0.6321088151204463,93.0,0.7895347203949082,0.33840304182509506,0.1729020979020979,286
