,Model,Source,Dataset,Split,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,num_nonzero_coefs,prot_length,cv,RVSM,coverage,coverage_site,coverage_within,fractionSD,fractionSD_ranked
296,ESM-2 650M,cellular,AMIE_PSEAE_Whitehead,Pooled Split,0.5932740623967262,0.4737178409899446,0.6374220018355528,0.7949037860115663,0.4861877777678797,0.5251125552229015,0.7171397999881238,0.7380937706591915,444.8,346,0.8955288124130507,0.6843693445943011,0.9491329479768786,0.9855491329479769,0.9630498533724341,0.5043988269794721,0.4897360703812317
297,ESM-2 650M,cellular,AMIE_PSEAE_Whitehead,Site Split,0.3746950276573783,0.6043376351984621,0.7957778734250103,0.6470424753613392,0.2317930799868937,0.6479254541652871,0.8454610337555613,0.504309214559792,79.6,346,0.8955288124130507,0.6843693445943011,0.9491329479768786,0.9855491329479769,0.9630498533724341,0.5043988269794721,0.4897360703812317
298,ESM-2 650M,cellular,B3VI55_LIPSTSTABLE,Pooled Split,0.5560101229915929,0.5291181542987836,0.665333950211592,0.7645237860007108,0.4685314880883832,0.5798321040537607,0.7332037177700383,0.713379234275024,590.4,439,0.6265177305624711,0.5960028353420278,0.948633257403189,1.0,0.9486332574031892,0.6605922551252847,0.7517084282460137
299,ESM-2 650M,cellular,B3VI55_LIPSTSTABLE,Site Split,0.3620781178046186,0.6434271547230213,0.7985412958005897,0.6429354946441904,0.2435682057401957,0.7003445798714449,0.8682676856183068,0.5450769527640895,89.6,439,0.6265177305624711,0.5960028353420278,0.948633257403189,1.0,0.9486332574031892,0.6605922551252847,0.7517084282460137
300,ESM-2 650M,cellular,B3VI55_LIPST_Whitehead2015,Pooled Split,0.3608283941433751,0.607811814103876,0.800281673462505,0.5626544144043162,0.2567013030735038,0.6508746943214576,0.8579563197162269,0.4744787621594249,533.0,439,0.5422886126483454,0.5139566239476339,0.9187927107061503,1.0,0.9187927107061503,0.7494305239179955,0.8906605922551253
301,ESM-2 650M,cellular,B3VI55_LIPST_Whitehead2015,Site Split,0.1692894881076947,0.6819386667162235,0.9148708380710944,0.4206201198605157,0.1162191676087219,0.6952513767997267,0.9238182065428964,0.3721364189967165,50.0,439,0.5422886126483454,0.5139566239476339,0.9187927107061503,1.0,0.9187927107061503,0.7494305239179955,0.8906605922551253
302,ESM-2 650M,cellular,BG_STRSQ_hmmerbit,Pooled Split,0.609863466093925,0.4660854460984631,0.6235029034913103,0.7528564392508914,0.4275103906120757,0.5578886810264871,0.761146037986107,0.6570999778223574,357.2,501,0.8372538040886925,0.6007825452247766,0.34930139720558884,1.0,0.34930139720558884,0.5269461077844312,0.7285429141716567
303,ESM-2 650M,cellular,BG_STRSQ_hmmerbit,Site Split,0.459963834381876,0.547508703076925,0.7352360772173233,0.6735659852228412,0.3525437782146496,0.6025064110378178,0.7979612224385797,0.5953305370369198,125.2,501,0.8372538040886925,0.6007825452247766,0.34930139720558884,1.0,0.34930139720558884,0.5269461077844312,0.7285429141716567
304,ESM-2 650M,cellular,BLAT_ECOLX_Ostermeier2014,Pooled Split,0.7213920969983223,0.4150679999002366,0.5275523355208739,0.8625083536712699,0.6661545372419098,0.4535970514372012,0.5782427284070536,0.8342099984594913,414.2,286,0.5511182677596788,0.7451304482871466,0.955944055944056,1.0,0.955944055944056,0.4125874125874126,0.3916083916083916
305,ESM-2 650M,cellular,BLAT_ECOLX_Ostermeier2014,Site Split,0.5491861399831128,0.5440922618386299,0.6700254557463649,0.7659311834211185,0.4027523173111202,0.622115205489852,0.7672675551509748,0.6632246076061603,102.4,286,0.5511182677596788,0.7451304482871466,0.955944055944056,1.0,0.955944055944056,0.4125874125874126,0.3916083916083916
306,ESM-2 650M,cellular,BLAT_ECOLX_Palzkill2012,Pooled Split,0.6626517978444326,0.4668869818978917,0.5802369269826443,0.8255413876111914,0.560036684808655,0.5361285627744119,0.6652608369099753,0.7599616147638139,483.8,286,0.4422973438354825,0.7034240524315979,0.9194055944055944,0.9195804195804196,0.999809885931559,0.5627376425855514,0.5475285171102662
307,ESM-2 650M,cellular,BLAT_ECOLX_Palzkill2012,Site Split,0.31351066295966,0.6916302873709643,0.8277414928604513,0.5859462405510032,0.2117774734103902,0.7391832396742799,0.8842616939567225,0.5031306872791488,53.0,286,0.4422973438354825,0.7034240524315979,0.9194055944055944,0.9195804195804196,0.999809885931559,0.5627376425855514,0.5475285171102662
308,ESM-2 650M,cellular,BLAT_ECOLX_Ranganathan2015,Pooled Split,0.7944355324764176,0.3578471868939072,0.4526664583067162,0.8888072124408927,0.7200242416948767,0.4177788205204395,0.5318801377020131,0.8507727621986085,522.8,286,0.5238494329714459,0.7960362551307779,0.8734265734265734,0.9195804195804196,0.949809885931559,0.33079847908745247,0.2737642585551331
309,ESM-2 650M,cellular,BLAT_ECOLX_Ranganathan2015,Site Split,0.6285608118750522,0.4997281652280672,0.6092335169538373,0.8117013231338006,0.4415469991817343,0.5982331938772203,0.7391335964757741,0.6785313873481549,133.2,286,0.5238494329714459,0.7960362551307779,0.8734265734265734,0.9195804195804196,0.949809885931559,0.33079847908745247,0.2737642585551331
310,ESM-2 650M,cellular,BLAT_ECOLX_Tenaillon2013,Pooled Split,0.7648363364902466,0.3731856584372361,0.481184435864214,0.8032297165809374,0.5037916865705231,0.5452010820308117,0.710632857043817,0.6730207009414585,205.0,286,0.7053398746864635,0.7895347203949082,0.1729020979020979,0.9195804195804196,0.18802281368821291,0.33840304182509506,0.41825095057034223
311,ESM-2 650M,cellular,BLAT_ECOLX_Tenaillon2013,Site Split,0.6102467802045467,0.4838065405688391,0.6167291906662071,0.7249897895216023,0.4066344652551875,0.6145024829028058,0.7964583731352485,0.6321088151204463,93.0,286,0.7053398746864635,0.7895347203949082,0.1729020979020979,0.9195804195804196,0.18802281368821291,0.33840304182509506,0.41825095057034223
312,ESM-2 650M,cellular,BRCA1_HUMAN_BRCT,Pooled Split,0.6803534312524387,0.4203190445509112,0.5670489799152779,0.687319476857174,0.4625931577558606,0.5222256044393908,0.7168792719846323,0.5427894867552231,216.4,1863,1.2019849194697658,0.697763511387242,0.04353193773483629,0.12077294685990338,0.36044444444444446,0.43555555555555553,0.6622222222222223
313,ESM-2 650M,cellular,BRCA1_HUMAN_BRCT,Site Split,0.5068941544920984,0.5140088915827358,0.6940082903070243,0.5879779873898658,0.3590241996645106,0.6123737496683698,0.8139898926751592,0.5282729138717187,82.2,1863,1.2019849194697658,0.697763511387242,0.04353193773483629,0.12077294685990338,0.36044444444444446,0.43555555555555553,0.6622222222222223
314,ESM-2 650M,cellular,BRCA1_HUMAN_RING,Pooled Split,0.7041291925996109,0.3989201588754454,0.5418439245633301,0.7038099174420377,0.5492209628247351,0.4850666442327715,0.6762541109489815,0.6040039774896687,97.8,1863,0.8473107186752306,0.7198780852961953,0.019753086419753086,0.05421363392377885,0.36435643564356435,0.37623762376237624,0.5742574257425742
315,ESM-2 650M,cellular,BRCA1_HUMAN_RING,Site Split,0.6195969681049276,0.4482238010101741,0.6009670886367724,0.6508194328397889,0.3129744287239183,0.6057013993844387,0.8462650759215575,0.4869737300057876,55.6,1863,0.8473107186752306,0.7198780852961953,0.019753086419753086,0.05421363392377885,0.36435643564356435,0.37623762376237624,0.5742574257425742
316,ESM-2 650M,cellular,CALM1_HUMAN_Roth2017,Pooled Split,0.167809543684189,0.7100816475532836,0.908062693520239,0.3976803022476162,0.0456811345905881,0.7762794270760289,0.9906911248533572,0.2222058764225147,82.4,149,0.4330438430602502,0.36664679180332155,0.6583892617449665,1.0,0.6583892617449665,0.7919463087248322,0.9530201342281879
